,Access to Medical Care,Civil Liberties,Civil Unrest,Conflict or Warfare,Crime,Cybersecurity,Infectious Diseases,Kidnapping or Hostage Taking,Natural Disasters,Terrorism,Wrongful Detention,Risk Tier,Risk Tier Meaning,Common Name,Risk Factors,Access to medical care,Civil liberties,Civil unrest,Conflict or warfare,Crime,Cybersecurity,Infectious diseases,Kidnapping or hostage taking,Natural disasters,Terrorism,Wrongful detention
Montserrat,1,0,0,0,0,0,0,0,0,0,0,1,Standard,Montserrat,Access to Medical Care,Access to medical care is a key risk consideration when traveling to Montserrat. Travelers should take enhanced precautions.,Civil liberties is not normally a key risk consideration when traveling to Montserrat. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to Montserrat. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Montserrat. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to Montserrat. Travelers should take normal precautions.,Cybersecurity is not normally a key risk consideration when traveling to Montserrat. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Montserrat. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Montserrat. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Montserrat. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Montserrat. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Montserrat. Travelers should take normal precautions.
Morocco,0,1,0,0,0,0,0,0,0,1,0,1,Standard,Morocco,"Civil Liberties, Terrorism",Access to medical care is not normally a key risk consideration when traveling to Morocco. Travelers should take normal precautions.,Civil liberties is a key risk consideration when traveling to Morocco. Travelers should take enhanced precautions.,Civil unrest is not normally a key risk consideration when traveling to Morocco. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Morocco. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to Morocco. Travelers should take normal precautions.,Cybersecurity is not normally a key risk consideration when traveling to Morocco. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Morocco. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Morocco. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Morocco. Travelers should take normal precautions.,Terrorism is a key risk consideration when traveling to Morocco. Travelers should take enhanced precautions.,Wrongful detention is not normally a key risk consideration when traveling to Morocco. Travelers should take normal precautions.
Mozambique,1,1,1,0,1,0,1,0,0,1,0,4,Sustained,Mozambique,"Access to Medical Care, Civil Liberties, Civil Unrest, Crime, Infectious Diseases, Terrorism",Access to medical care is a key risk consideration when traveling to Mozambique. Travelers should take enhanced precautions.,Civil liberties is a key risk consideration when traveling to Mozambique. Travelers should take enhanced precautions.,Civil unrest is a key risk consideration when traveling to Mozambique. Travelers should take enhanced precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Mozambique. Travelers should take normal precautions.,Crime is a key risk consideration when traveling to Mozambique. Travelers should take enhanced precautions.,Cybersecurity is not normally a key risk consideration when traveling to Mozambique. Travelers should take normal precautions.,Infectious diseases is a key risk consideration when traveling to Mozambique. Travelers should take enhanced precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Mozambique. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Mozambique. Travelers should take normal precautions.,Terrorism is a key risk consideration when traveling to Mozambique. Travelers should take enhanced precautions.,Wrongful detention is not normally a key risk consideration when traveling to Mozambique. Travelers should take normal precautions.
Myanmar,1,1,1,1,1,1,0,0,0,0,1,5,High,Myanmar,"Access to Medical Care, Civil Liberties, Civil Unrest, Conflict or Warfare, Crime, Cybersecurity, Wrongful Detention",Access to medical care is a key risk consideration when traveling to Myanmar. Travelers should take enhanced precautions.,Civil liberties is a key risk consideration when traveling to Myanmar. Travelers should take enhanced precautions.,Civil unrest is a key risk consideration when traveling to Myanmar. Travelers should take enhanced precautions.,Conflict or warfare is a key risk consideration when traveling to Myanmar. Travelers should take enhanced precautions.,Crime is a key risk consideration when traveling to Myanmar. Travelers should take enhanced precautions.,Cybersecurity is a key risk consideration when traveling to Myanmar. Travelers should take enhanced precautions.,Infectious diseases is not normally a key risk consideration when traveling to Myanmar. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Myanmar. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Myanmar. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Myanmar. Travelers should take normal precautions.,Wrongful detention is a key risk consideration when traveling to Myanmar. Travelers should take enhanced precautions.
Namibia,0,0,0,0,1,0,0,0,0,0,0,1,Standard,Namibia,Crime,Access to medical care is not normally a key risk consideration when traveling to Namibia. Travelers should take normal precautions.,Civil liberties is not normally a key risk consideration when traveling to Namibia. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to Namibia. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Namibia. Travelers should take normal precautions.,Crime is a key risk consideration when traveling to Namibia. Travelers should take enhanced precautions.,Cybersecurity is not normally a key risk consideration when traveling to Namibia. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Namibia. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Namibia. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Namibia. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Namibia. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Namibia. Travelers should take normal precautions.
Nauru,1,0,0,0,0,0,0,0,0,0,0,1,Standard,Nauru,Access to Medical Care,Access to medical care is a key risk consideration when traveling to Nauru. Travelers should take enhanced precautions.,Civil liberties is not normally a key risk consideration when traveling to Nauru. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to Nauru. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Nauru. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to Nauru. Travelers should take normal precautions.,Cybersecurity is not normally a key risk consideration when traveling to Nauru. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Nauru. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Nauru. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Nauru. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Nauru. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Nauru. Travelers should take normal precautions.
Nepal,1,0,1,0,1,0,0,0,0,0,0,1,Standard,Nepal,"Access to Medical Care, Civil Unrest, Crime",Access to medical care is a key risk consideration when traveling to Nepal. Travelers should take enhanced precautions.,Civil liberties is not normally a key risk consideration when traveling to Nepal. Travelers should take normal precautions.,Civil unrest is a key risk consideration when traveling to Nepal. Travelers should take enhanced precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Nepal. Travelers should take normal precautions.,Crime is a key risk consideration when traveling to Nepal. Travelers should take enhanced precautions.,Cybersecurity is not normally a key risk consideration when traveling to Nepal. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Nepal. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Nepal. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Nepal. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Nepal. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Nepal. Travelers should take normal precautions.
Netherlands,0,0,0,0,0,0,0,0,0,1,0,1,Standard,Netherlands,Terrorism,Access to medical care is not normally a key risk consideration when traveling to Netherlands. Travelers should take normal precautions.,Civil liberties is not normally a key risk consideration when traveling to Netherlands. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to Netherlands. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Netherlands. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to Netherlands. Travelers should take normal precautions.,Cybersecurity is not normally a key risk consideration when traveling to Netherlands. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Netherlands. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Netherlands. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Netherlands. Travelers should take normal precautions.,Terrorism is a key risk consideration when traveling to Netherlands. Travelers should take enhanced precautions.,Wrongful detention is not normally a key risk consideration when traveling to Netherlands. Travelers should take normal precautions.
New Caledonia,0,0,1,0,1,0,0,0,0,0,0,4,Sustained,New Caledonia,"Civil Unrest, Crime",Access to medical care is not normally a key risk consideration when traveling to New Caledonia. Travelers should take normal precautions.,Civil liberties is not normally a key risk consideration when traveling to New Caledonia. Travelers should take normal precautions.,Civil unrest is a key risk consideration when traveling to New Caledonia. Travelers should take enhanced precautions.,Conflict or warfare is not normally a key risk consideration when traveling to New Caledonia. Travelers should take normal precautions.,Crime is a key risk consideration when traveling to New Caledonia. Travelers should take enhanced precautions.,Cybersecurity is not normally a key risk consideration when traveling to New Caledonia. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to New Caledonia. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to New Caledonia. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to New Caledonia. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to New Caledonia. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to New Caledonia. Travelers should take normal precautions.
New Zealand,0,0,0,0,0,0,0,0,0,0,0,1,Standard,New Zealand,None,Access to medical care is not normally a key risk consideration when traveling to New Zealand. Travelers should take normal precautions.,Civil liberties is not normally a key risk consideration when traveling to New Zealand. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to New Zealand. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to New Zealand. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to New Zealand. Travelers should take normal precautions.,Cybersecurity is not normally a key risk consideration when traveling to New Zealand. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to New Zealand. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to New Zealand. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to New Zealand. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to New Zealand. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to New Zealand. Travelers should take normal precautions.
Nicaragua,1,1,0,0,1,0,0,0,0,0,1,4,Sustained,Nicaragua,"Access to Medical Care, Civil Liberties, Crime, Wrongful Detention",Access to medical care is a key risk consideration when traveling to Nicaragua. Travelers should take enhanced precautions.,Civil liberties is a key risk consideration when traveling to Nicaragua. Travelers should take enhanced precautions.,Civil unrest is not normally a key risk consideration when traveling to Nicaragua. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Nicaragua. Travelers should take normal precautions.,Crime is a key risk consideration when traveling to Nicaragua. Travelers should take enhanced precautions.,Cybersecurity is not normally a key risk consideration when traveling to Nicaragua. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Nicaragua. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Nicaragua. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Nicaragua. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Nicaragua. Travelers should take normal precautions.,Wrongful detention is a key risk consideration when traveling to Nicaragua. Travelers should take enhanced precautions.
Niger,1,1,1,1,1,1,1,1,0,1,0,5,High,Niger,"Access to Medical Care, Civil Liberties, Civil Unrest, Conflict or Warfare, Crime, Cybersecurity, Infectious Diseases, Kidnapping or Hostage Taking, Terrorism",Access to medical care is a key risk consideration when traveling to Niger. Travelers should take enhanced precautions.,Civil liberties is a key risk consideration when traveling to Niger. Travelers should take enhanced precautions.,Civil unrest is a key risk consideration when traveling to Niger. Travelers should take enhanced precautions.,Conflict or warfare is a key risk consideration when traveling to Niger. Travelers should take enhanced precautions.,Crime is a key risk consideration when traveling to Niger. Travelers should take enhanced precautions.,Cybersecurity is a key risk consideration when traveling to Niger. Travelers should take enhanced precautions.,Infectious diseases is a key risk consideration when traveling to Niger. Travelers should take enhanced precautions.,Kidnapping or hostage taking is a key risk consideration when traveling to Niger. Travelers should take enhanced precautions.,Natural disasters is not normally a key risk consideration when traveling to Niger. Travelers should take normal precautions.,Terrorism is a key risk consideration when traveling to Niger. Travelers should take enhanced precautions.,Wrongful detention is not normally a key risk consideration when traveling to Niger. Travelers should take normal precautions.
Nigeria,1,1,1,1,1,0,1,1,0,1,0,4,Sustained,Nigeria,"Access to Medical Care, Civil Liberties, Civil Unrest, Conflict or Warfare, Crime, Infectious Diseases, Kidnapping or Hostage Taking, Terrorism",Access to medical care is a key risk consideration when traveling to Nigeria. Travelers should take enhanced precautions.,Civil liberties is a key risk consideration when traveling to Nigeria. Travelers should take enhanced precautions.,Civil unrest is a key risk consideration when traveling to Nigeria. Travelers should take enhanced precautions.,Conflict or warfare is a key risk consideration when traveling to Nigeria. Travelers should take enhanced precautions.,Crime is a key risk consideration when traveling to Nigeria. Travelers should take enhanced precautions.,Cybersecurity is not normally a key risk consideration when traveling to Nigeria. Travelers should take normal precautions.,Infectious diseases is a key risk consideration when traveling to Nigeria. Travelers should take enhanced precautions.,Kidnapping or hostage taking is a key risk consideration when traveling to Nigeria. Travelers should take enhanced precautions.,Natural disasters is not normally a key risk consideration when traveling to Nigeria. Travelers should take normal precautions.,Terrorism is a key risk consideration when traveling to Nigeria. Travelers should take enhanced precautions.,Wrongful detention is not normally a key risk consideration when traveling to Nigeria. Travelers should take normal precautions.
Niue,1,0,0,0,0,0,0,0,0,0,0,1,Standard,Niue,Access to Medical Care,Access to medical care is a key risk consideration when traveling to Niue. Travelers should take enhanced precautions.,Civil liberties is not normally a key risk consideration when traveling to Niue. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to Niue. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Niue. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to Niue. Travelers should take normal precautions.,Cybersecurity is not normally a key risk consideration when traveling to Niue. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Niue. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Niue. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Niue. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Niue. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Niue. Travelers should take normal precautions.
North Korea,1,1,0,0,1,1,0,0,0,0,1,5,High,North Korea,"Access to Medical Care, Civil Liberties, Crime, Cybersecurity, Wrongful Detention",Access to medical care is a key risk consideration when traveling to North Korea. Travelers should take enhanced precautions.,Civil liberties is a key risk consideration when traveling to North Korea. Travelers should take enhanced precautions.,Civil unrest is not normally a key risk consideration when traveling to North Korea. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to North Korea. Travelers should take normal precautions.,Crime is a key risk consideration when traveling to North Korea. Travelers should take enhanced precautions.,Cybersecurity is a key risk consideration when traveling to North Korea. Travelers should take enhanced precautions.,Infectious diseases is not normally a key risk consideration when traveling to North Korea. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to North Korea. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to North Korea. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to North Korea. Travelers should take normal precautions.,Wrongful detention is a key risk consideration when traveling to North Korea. Travelers should take enhanced precautions.
North Macedonia,1,0,0,0,1,0,0,0,0,0,0,1,Standard,North Macedonia,"Access to Medical Care, Crime",Access to medical care is a key risk consideration when traveling to North Macedonia. Travelers should take enhanced precautions.,Civil liberties is not normally a key risk consideration when traveling to North Macedonia. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to North Macedonia. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to North Macedonia. Travelers should take normal precautions.,Crime is a key risk consideration when traveling to North Macedonia. Travelers should take enhanced precautions.,Cybersecurity is not normally a key risk consideration when traveling to North Macedonia. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to North Macedonia. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to North Macedonia. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to North Macedonia. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to North Macedonia. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to North Macedonia. Travelers should take normal precautions.
Norway,0,0,0,0,0,0,0,0,0,0,0,1,Standard,Norway,None,Access to medical care is not normally a key risk consideration when traveling to Norway. Travelers should take normal precautions.,Civil liberties is not normally a key risk consideration when traveling to Norway. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to Norway. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Norway. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to Norway. Travelers should take normal precautions.,Cybersecurity is not normally a key risk consideration when traveling to Norway. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Norway. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Norway. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Norway. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Norway. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Norway. Travelers should take normal precautions.
Oman,0,1,0,0,0,0,0,0,0,1,0,3,Elevated,Oman,"Civil Liberties, Terrorism",Access to medical care is not normally a key risk consideration when traveling to Oman. Travelers should take normal precautions.,Civil liberties is a key risk consideration when traveling to Oman. Travelers should take enhanced precautions.,Civil unrest is not normally a key risk consideration when traveling to Oman. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Oman. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to Oman. Travelers should take normal precautions.,Cybersecurity is not normally a key risk consideration when traveling to Oman. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Oman. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Oman. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Oman. Travelers should take normal precautions.,Terrorism is a key risk consideration when traveling to Oman. Travelers should take enhanced precautions.,Wrongful detention is not normally a key risk consideration when traveling to Oman. Travelers should take normal precautions.
Pakistan,1,1,0,0,1,1,1,0,0,1,0,4,Sustained,Pakistan,"Access to Medical Care, Civil Liberties, Crime, Cybersecurity, Infectious Diseases, Terrorism",Access to medical care is a key risk consideration when traveling to Pakistan. Travelers should take enhanced precautions.,Civil liberties is a key risk consideration when traveling to Pakistan. Travelers should take enhanced precautions.,Civil unrest is not normally a key risk consideration when traveling to Pakistan. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Pakistan. Travelers should take normal precautions.,Crime is a key risk consideration when traveling to Pakistan. Travelers should take enhanced precautions.,Cybersecurity is a key risk consideration when traveling to Pakistan. Travelers should take enhanced precautions.,Infectious diseases is a key risk consideration when traveling to Pakistan. Travelers should take enhanced precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Pakistan. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Pakistan. Travelers should take normal precautions.,Terrorism is a key risk consideration when traveling to Pakistan. Travelers should take enhanced precautions.,Wrongful detention is not normally a key risk consideration when traveling to Pakistan. Travelers should take normal precautions.
Palau,1,1,0,0,0,0,0,0,0,0,0,1,Standard,Palau,"Access to Medical Care, Civil Liberties",Access to medical care is a key risk consideration when traveling to Palau. Travelers should take enhanced precautions.,Civil liberties is a key risk consideration when traveling to Palau. Travelers should take enhanced precautions.,Civil unrest is not normally a key risk consideration when traveling to Palau. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Palau. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to Palau. Travelers should take normal precautions.,Cybersecurity is not normally a key risk consideration when traveling to Palau. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Palau. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Palau. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Palau. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Palau. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Palau. Travelers should take normal precautions.
Panama,0,0,1,0,1,0,1,0,0,0,0,3,Elevated,Panama,"Civil Unrest, Crime, Infectious Diseases",Access to medical care is not normally a key risk consideration when traveling to Panama. Travelers should take normal precautions.,Civil liberties is not normally a key risk consideration when traveling to Panama. Travelers should take normal precautions.,Civil unrest is a key risk consideration when traveling to Panama. Travelers should take enhanced precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Panama. Travelers should take normal precautions.,Crime is a key risk consideration when traveling to Panama. Travelers should take enhanced precautions.,Cybersecurity is not normally a key risk consideration when traveling to Panama. Travelers should take normal precautions.,Infectious diseases is a key risk consideration when traveling to Panama. Travelers should take enhanced precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Panama. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Panama. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Panama. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Panama. Travelers should take normal precautions.
Papua New Guinea,1,1,1,0,1,0,0,1,1,0,0,3,Elevated,Papua New Guinea,"Access to Medical Care, Civil Liberties, Civil Unrest, Crime, Kidnapping or Hostage Taking, Natural Disasters",Access to medical care is a key risk consideration when traveling to Papua New Guinea. Travelers should take enhanced precautions.,Civil liberties is a key risk consideration when traveling to Papua New Guinea. Travelers should take enhanced precautions.,Civil unrest is a key risk consideration when traveling to Papua New Guinea. Travelers should take enhanced precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Papua New Guinea. Travelers should take normal precautions.,Crime is a key risk consideration when traveling to Papua New Guinea. Travelers should take enhanced precautions.,Cybersecurity is not normally a key risk consideration when traveling to Papua New Guinea. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Papua New Guinea. Travelers should take normal precautions.,Kidnapping or hostage taking is a key risk consideration when traveling to Papua New Guinea. Travelers should take enhanced precautions.,Natural disasters is a key risk consideration when traveling to Papua New Guinea. Travelers should take enhanced precautions.,Terrorism is not normally a key risk consideration when traveling to Papua New Guinea. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Papua New Guinea. Travelers should take normal precautions.
Paraguay,0,0,0,0,1,0,0,0,0,0,0,1,Standard,Paraguay,Crime,Access to medical care is not normally a key risk consideration when traveling to Paraguay. Travelers should take normal precautions.,Civil liberties is not normally a key risk consideration when traveling to Paraguay. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to Paraguay. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Paraguay. Travelers should take normal precautions.,Crime is a key risk consideration when traveling to Paraguay. Travelers should take enhanced precautions.,Cybersecurity is not normally a key risk consideration when traveling to Paraguay. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Paraguay. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Paraguay. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Paraguay. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Paraguay. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Paraguay. Travelers should take normal precautions.
Peru,0,0,1,0,1,0,1,1,0,1,0,3,Elevated,Peru,"Civil Unrest, Crime, Infectious Diseases, Kidnapping or Hostage Taking, Terrorism",Access to medical care is not normally a key risk consideration when traveling to Peru. Travelers should take normal precautions.,Civil liberties is not normally a key risk consideration when traveling to Peru. Travelers should take normal precautions.,Civil unrest is a key risk consideration when traveling to Peru. Travelers should take enhanced precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Peru. Travelers should take normal precautions.,Crime is a key risk consideration when traveling to Peru. Travelers should take enhanced precautions.,Cybersecurity is not normally a key risk consideration when traveling to Peru. Travelers should take normal precautions.,Infectious diseases is a key risk consideration when traveling to Peru. Travelers should take enhanced precautions.,Kidnapping or hostage taking is a key risk consideration when traveling to Peru. Travelers should take enhanced precautions.,Natural disasters is not normally a key risk consideration when traveling to Peru. Travelers should take normal precautions.,Terrorism is a key risk consideration when traveling to Peru. Travelers should take enhanced precautions.,Wrongful detention is not normally a key risk consideration when traveling to Peru. Travelers should take normal precautions.
Philippines,0,0,1,0,1,0,1,1,0,1,0,3,Elevated,Philippines,"Civil Unrest, Crime, Infectious Diseases, Kidnapping or Hostage Taking, Terrorism",Access to medical care is not normally a key risk consideration when traveling to Philippines. Travelers should take normal precautions.,Civil liberties is not normally a key risk consideration when traveling to Philippines. Travelers should take normal precautions.,Civil unrest is a key risk consideration when traveling to Philippines. Travelers should take enhanced precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Philippines. Travelers should take normal precautions.,Crime is a key risk consideration when traveling to Philippines. Travelers should take enhanced precautions.,Cybersecurity is not normally a key risk consideration when traveling to Philippines. Travelers should take normal precautions.,Infectious diseases is a key risk consideration when traveling to Philippines. Travelers should take enhanced precautions.,Kidnapping or hostage taking is a key risk consideration when traveling to Philippines. Travelers should take enhanced precautions.,Natural disasters is not normally a key risk consideration when traveling to Philippines. Travelers should take normal precautions.,Terrorism is a key risk consideration when traveling to Philippines. Travelers should take enhanced precautions.,Wrongful detention is not normally a key risk consideration when traveling to Philippines. Travelers should take normal precautions.
Pitcairn Islands,0,0,0,0,0,0,0,0,0,0,0,1,Standard,Pitcairn Islands,None,Access to medical care is not normally a key risk consideration when traveling to Pitcairn Islands. Travelers should take normal precautions.,Civil liberties is not normally a key risk consideration when traveling to Pitcairn Islands. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to Pitcairn Islands. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Pitcairn Islands. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to Pitcairn Islands. Travelers should take normal precautions.,Cybersecurity is not normally a key risk consideration when traveling to Pitcairn Islands. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Pitcairn Islands. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Pitcairn Islands. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Pitcairn Islands. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Pitcairn Islands. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Pitcairn Islands. Travelers should take normal precautions.
